University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
University of Michigan - Ann Arbor (UM),Anthropology and History,24000.0,1.04,2019-2020,Humanities,
University of Illinois - Urbana- Champaign (UIUC),Environmental Engineering,20500.0,0.93,2018-2019,STEM,
Yale University (YU),American Studies,30000.0,1.21,2016-2017,Humanities,Ivy
University of North Carolina - Chapel Hill (UNC),geography,19764.0,0.89,2018-2019,STEM,
University of Kentucky (UK),Sociology,34568.0,1.69,2019-2020,Social Science,
Duquesne University (DU),Philosophy ,18000.0,0.87,2018-2019,Humanities,
University of Texas - Austin (UT),African and African Diaspora Studies,20500.0,0.9,2016-2017,Humanities,
University of Texas - Austin (UT),African and African Diaspora Studies,16500.0,0.72,2017-2018,Humanities,
University of Texas - Austin (UT),African and African Diaspora Studies,16500.0,0.72,2018-2019,Humanities,
University of Pennsylvania,Education ,25000.0,1.04,2018-2019,Social Science,Ivy
Michigan State University (MSU),English,15742.0,0.77,2018-2019,Humanities,
University of California - Berkeley,Molecular and Cellular Biology,37000.0,1.33,2019-2020,STEM,
University of Wisconsin - Madison (UW),Genetics,28000.0,1.23,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Program in Biomedical Sciences,31632.0,1.37,2019-2020,STEM,
Yale University (YU),Biological and Biomedical Sciences,36550.0,1.48,2019-2020,STEM,Ivy
San Diego State University (SDSU),Public Health,16536.0,0.62,2019-2020,Social Science,
University of Washington (UW),English,23098.0,0.99,2018-2019,Humanities,
University of Iowa (UI),Genetics,30000.0,1.35,2019-2020,STEM,
University of California - Berkeley,Geography,28000.0,1.01,2018-2019,STEM,
CUNY Graduate School and University Center,Comparative Literature ,26128.0,0.88,2019-2020,Humanities,
University of Connecticut (UConn),physics,23500.0,0.97,2019-2020,STEM,
University of Illinois - Chicago (UIC),History,18000.0,0.74,2018-2019,Humanities,
Emory University,Religion,31000.0,1.33,2018-2019,Humanities,
Princeton Theological Seminary (PTS),History,30000.0,1.18,2019-2020,Humanities,Ivy
Brandeis University,Musicology PHD,24500.0,0.88,2018-2019,Humanities,
University of Rochester (UR),Musicology PHD,15000.0,0.7,2018-2019,Humanities,
University of Oregon (UO),Political Science,15000.0,0.71,2018-2019,Social Science,
Tulane University (TU),Philosophy,18200.0,0.79,2017-2018,Humanities,
University of Oregon (UO),Business,23886.0,1.14,2019-2020,Business,
University of Texas - Austin (UT),English,16787.0,0.74,2017-2018,Humanities,
Johns Hopkins University (JHU),Physics & Astronomy,32833.0,1.28,2018-2019,STEM,
University of California - Berkeley,Geography,30500.0,1.1,2018-2019,STEM,
University of Maryland - College Park (UMD),Computer Science,31900.0,1.05,2019-2020,STEM,
California Institute of Technology (Caltech),Mechanical and Civil Engineering,36000.0,1.39,2019-2020,STEM,
Northeastern University (NU),History,29100.0,1.02,2018-2019,Humanities,
University of Colorado - Boulder (UCB),Communication,26000.0,1.02,2018-2019,Social Science,
University of California - Davis (UCD),Population Biology,26612.0,1.11,2019-2020,STEM,
University of Illinois - Urbana- Champaign (UIUC),History,17500.0,0.8,2018-2019,Humanities,
University of California - Berkeley,Geography,26500.0,0.95,2018-2019,STEM,
University of Texas - Austin (UT),English,19600.0,0.86,2018-2019,Humanities,
University of Minnesota - Twin Cities (UM),Agronomy and Plant Genetics,20880.0,0.91,2018-2019,STEM,
New York University (NYU),Sociology,35000.0,1.18,2018-2019,Social Science,
Northeastern University (NU),Sociology,22200.0,0.78,2018-2019,Social Science,
North Carolina State University (NCSU),Electrical and Computer Engineering,24000.0,1.05,2019-2020,STEM,
University of Central Florida (UCF),Biomedical Sciences,25000.0,1.08,2019-2020,STEM,
University of Florida (UF),College of Journalism and Communications,34220.0,1.51,2019-2020,Social Science,
University of Oregon (UO),Biology,25819.0,1.23,2017-2018,STEM,
University of California - San Diego (UCSD),Clinical psychology,24816.0,0.94,2019-2020,Social Science,
Cornell University (CU),Computer science,27150.0,1.12,2018-2019,STEM,Ivy
University of Minnesota - Twin Cities (UM),Computer Science,24400.0,1.06,2018-2019,STEM,
Washington State University (WSU),Food Science,18225.0,0.96,2018-2019,Social Science,
University at Buffalo - SUNY,English,17400.0,0.83,2019-2020,Humanities,
Arizona State University,Religious Studies,17502.0,,2018-2019,Humanities,
Arizona State University (ASU),School for the Future of Innovation in Society,16357.0,0.74,2018-2019,Social Science,
Florida International University (FIU),Developmental Science - Psychology,19194.0,0.81,2019-2020,Social Science,
Purdue University - West Lafayette,Human Development and Family Studies,17300.0,0.82,2019-2020,Humanities,
Ohio State University (OSU),Chemistry,29500.0,1.47,2019-2020,STEM,
University of Minnesota - Twin Cities (UM),Chemistry,26600.0,1.16,2019-2020,STEM,
University of Minnesota - Twin Cities (UM),Chemistry,26600.0,1.16,2019-2020,STEM,
University of Illinois - Urbana- Champaign (UIUC),Biology,25000.0,1.14,2019-2020,STEM,
University of Illinois - Urbana- Champaign (UIUC),Biology,25000.0,1.14,2019-2020,STEM,
University of Illinois - Urbana- Champaign (UIUC),Biology,28000.0,1.27,2019-2020,STEM,
University of Southern California (USC),Chemistry,32000.0,1.24,2019-2020,STEM,
University of Southern California (USC),Chemistry,32000.0,1.24,2019-2020,STEM,
University of California - San Diego (UCSD),Chemistry,31000.0,1.17,2019-2020,STEM,
University of California - Santa Barbara (UCSB),Earth Science,20000.0,0.76,2018-2019,STEM,
Brandeis University,Musicology,24500.0,0.88,2019-2020,Humanities,
Syracuse University,Religion,20300.0,0.95,2019-2020,Humanities,
University of Virginia (UVA),Religious Studies,24000.0,1.05,2019-2020,Humanities,
The Catholic University of America,Theology & Religious Studies,18000.0,0.58,2019-2020,Humanities,
University of California - Davis (UCD),Philosophy,20653.0,0.86,2018-2019,Humanities,
University of Iowa (UI),neuroscience,23600.0,1.06,2019-2020,STEM,
University of Illinois - Urbana- Champaign (UIUC),Molecular and cellular biology,22000.0,1.0,2019-2020,STEM,
University of Delaware (UD),Biological Sciences,26666.0,1.05,2019-2020,STEM,
University of Arkansas - Fayetteville,Geosciences,36100.0,1.81,2019-2020,STEM,
Loyola University Chicago (LUC),Biomedical Sciences,30000.0,1.24,2019-2020,STEM,
George Washington University (GW),Electrical and Computer Engineering,22500.0,0.73,2018-2019,STEM,
University of Massachusetts - Amherst (UMass),Linguistics,23659.0,1.03,2019-2020,Social Science,
University of Pittsburgh,pharmacy,27550.0,1.33,2018-2019,STEM,
University of Washington (UW),Computer Science and Engineering,27000.0,1.16,2019-2020,STEM,
Yale University (YU),Spanish and Portuguese,31800.0,1.29,2019-2020,Humanities,Ivy
Harvard University (HU),Romance Languages and Literatures,35676.0,1.25,2019-2020,Humanities,
University of Iowa (UI),Sociology,24500.0,1.1,2018-2019,Social Science,
Brown University,Anthropology,31519.0,1.39,2019-2020,Humanities,Ivy
CUNY Graduate School and University Center,Earth and Environmental Sciences,25000.0,0.84,2019-2020,STEM,
Tulane University (TU),Chemistry ,26000.0,1.13,2019-2020,STEM,
Syracuse University,Human development and family science,15150.0,0.71,2018-2019,Social Science,
The University of Manchester,Economics,26820.0,,2018-2019,Social Science,
Harvard University (HU),Linguistics,35676.0,1.25,2019-2020,Social Science,
Harvard University (HU),Education,39676.0,1.39,2019-2020,Social Science,
University of California - Irvine (UCI),Political science ,21000.0,0.72,2018-2019,Social Science,
University of California - Los Angeles (UCLA),Ethnomusicology,21000.0,0.81,2019-2020,Humanities,
Princeton University,Political Science,36500.0,1.44,2019-2020,Social Science,Ivy
University of Florida (UF),Geology,19800.0,0.87,2019-2020,STEM,
Harvard University (HU),Economics,38000.0,1.33,2019-2020,Social Science,
University of Southern California (USC),Epidemiology,35000.0,1.35,2019-2020,STEM,
University of Wisconsin - Milwaukee (UWM),psychology,17550.0,0.82,2018-2019,Social Science,
University of South Florida (UCF),Sociology,16700.0,0.76,2018-2019,Social Science,
Michigan State University (MSU),Political Science,25000.0,1.22,2018-2019,Social Science,
University of Washington (UW),Statistics,22644.0,0.97,2019-2020,STEM,
University of California - Los Angeles (UCLA),Statistics,21000.0,0.81,2019-2020,STEM,
University of California - Irvine (UCI),Statistics,20793.0,0.71,2019-2020,STEM,
North Carolina State University (NCSU),Statistics,18750.0,0.82,2019-2020,STEM,
University of Florida (UF),Statistics,20000.0,0.88,2019-2020,STEM,
Stony Brook University - SUNY,computer science,40000.0,1.43,2019-2020,STEM,
Stanford University (SU),Education,44846.0,1.56,2019-2020,Social Science,
University of Arizona (U of A),Biochemistry,25000.0,1.21,2019-2020,STEM,
University of Arizona (U of A),Biochemistry,25000.0,1.21,2018-2019,STEM,
University of Arizona (U of A),Biochemistry,24500.0,1.18,2018-2019,STEM,
University of California - Berkeley,Earth Planetary Science,39173.0,1.41,2018-2019,STEM,
Texas A&amp;M; University - College Station,Biology,26400.0,,2019-2020,STEM,
Boston University (BU),Romance Studies,23000.0,0.8,2019-2020,Humanities,
Princeton University,demography,34400.0,1.35,2019-2020,STEM,Ivy
Stanford University (SU),Sociology,37772.0,1.31,2018-2019,Social Science,
Utah State University (USU),Biology,24000.0,1.16,2019-2020,STEM,
Boston University (BU),Physics,33000.0,1.15,2018-2019,STEM,
Old Dominion University (ODU),department of biological sciences,15000.0,0.56,2018-2019,STEM,
University of Michigan - Ann Arbor (UM),Sociology,28778.0,1.25,2019-2020,Social Science,
University of Texas - Austin (UT),Sociology,24184.0,1.06,2019-2020,Social Science,
University of Wisconsin - Madison (UW),Computer Science,22359.0,0.98,2018-2019,STEM,
University of Florida (UF),Social Psychology,21100.0,0.93,2019-2020,Social Science,
University of Colorado - Boulder (UCB),Atmospheric and Ocean Science,20451.0,0.8,2018-2019,STEM,
Carnegie Mellon University (CMU),Economics,26800.0,1.29,2018-2019,Social Science,
University of Wisconsin - Milwaukee (UWM),Epidemiology,15000.0,0.7,2018-2019,STEM,
Georgia State University (GSU),Finance,30000.0,1.29,2018-2019,Business,
University of Alabama (UA),Marketing ,18000.0,0.86,2018-2019,Business,
University of Michigan - Ann Arbor (UM),Sociology,24710.0,1.07,2019-2020,Social Science,
Duke University (DU),Economics,29350.0,1.32,2019-2020,Social Science,
Yale University (YU),Economics,40000.0,1.62,2019-2020,Social Science,Ivy
University of Chicago (UC),Economics,39000.0,1.61,2019-2020,Social Science,
Washington University in St. Louis (Wash U),Computer Science,30000.0,1.45,2019-2020,STEM,
Rice University,Political Science ,25600.0,1.17,2019-2020,Social Science,
Scripps Research Institute (SRI),immunology,33000.0,1.25,2018-2019,STEM,
Washington University in St. Louis (Wash U),immunology,30500.0,1.48,2018-2019,STEM,
Washington University in St. Louis (Wash U),immunology,30500.0,1.48,2018-2019,STEM,
Emory University,Sociolgoy,33500.0,1.44,2019-2020,Social Science,
Emory University,Sociolgoy,33500.0,1.44,2019-2020,Social Science,
Northwestern University (NU),Sociology,38500.0,1.59,2019-2020,Social Science,
University of North Carolina - Chapel Hill (UNC),political science,15000.0,0.67,2018-2019,Social Science,
Northwestern University (NU),Chemistry,33000.0,1.36,2018-2019,STEM,
CUNY Graduate School and University Center,Chemistry,30000.0,1.01,2019-2020,STEM,
University of Tennessee - Knoxville,Computer Science,33800.0,1.59,2018-2019,STEM,
University of Texas - Dallas (UTD),Psychological Sciences,24000.0,1.11,2019-2020,Social Science,
University of Virginia (UVA),Psychology,24000.0,1.05,2019-2020,Social Science,
Carnegie Mellon University (CMU),Computer Science,31945.0,1.54,2018-2019,STEM,
Texas Tech University (TTU),Chemistry and Biochemistry,19800.0,0.98,2019-2020,STEM,
Rockefeller University,Chemical Biology,38900.0,1.31,2018-2019,STEM,
Vanderbilt University,Psychological Sciences,31000.0,1.35,2018-2019,Social Science,
University of Minnesota - Twin Cities (UM),Interdepartmental Graduate Program in Neuroscience,30000.0,1.31,2018-2019,STEM,
University of Florida (UF),pharmaceutical sciences,32000.0,1.41,2019-2020,STEM,
New York University (NYU),Political Science,29850.0,1.0,2019-2020,Social Science,
University of California - Berkeley,Plant and Microbial Biology,37000.0,1.33,2019-2020,STEM,
Baylor University (BU),Biology,23371.0,1.18,2018-2019,STEM,
Texas A&amp;M; University - College Station,Materials Science & Engineering ,22000.0,,2018-2019,STEM,
Texas A&amp;M; University - College Station,Materials Science & Engineering ,22000.0,,2018-2019,STEM,
Cornell University (CU),Management,37600.0,1.55,2018-2019,Business,Ivy
Medical College of Wisconsin,Biomedical engineering,31000.0,1.44,2019-2020,STEM,
University of California - Berkeley,Plant and Microbial Biosciences,37080.0,1.34,2019-2020,STEM,
Indiana University,Political Science,15345.0,0.71,2018-2019,Social Science,
Rice University,Computer science,22000.0,1.01,2018-2019,STEM,
University of Wisconsin - Madison (UW),History,26140.0,1.14,2019-2020,Humanities,
University of Washington (UW),Sociology ,19869.0,0.85,2019-2020,Social Science,
University of Michigan - Ann Arbor (UM),School of Education ,30000.0,1.3,2018-2019,Social Science,
Northwestern University (NU),Sociology,32844.0,1.35,2019-2020,Social Science,
University of California - Irvine (UCI),cell and molecular biosciences,32000.0,1.09,2018-2019,STEM,
Universite de Montreal,Computer Science,25000.0,,2019-2020,STEM,
Cornell University (CU),Sociology,32911.0,1.36,2019-2020,Social Science,Ivy
University of Southern California (USC),Sociology,30500.0,1.18,2019-2020,Social Science,
University of North Carolina - Chapel Hill (UNC),Sociology,20000.0,0.9,2018-2019,Social Science,
Duke University (DU),Sociology,29500.0,1.33,2018-2019,Social Science,
University of Michigan - Ann Arbor (UM),Sociology,25084.0,1.09,2019-2020,Social Science,
Harvard University (HU),Sociology,35676.0,1.25,2019-2020,Social Science,
Cornell,Sociology,32953.0,,2019-2020,Social Science,
UCLA,Anthropology ,22000.0,,2019-2020,Humanities,
University of California - Irvine (UCI),Sociology,23273.0,0.8,2019-2020,Social Science,
Iowa State University (ISU),Nutritional Biochemistry,25500.0,1.2,2018-2019,Social Science,
University of Hawaii - Manoa (UH),Nutritional Sciences ,21288.0,0.7,2018-2019,Social Science,
Massachusetts Institute of Technology (MIT),Linguistics,35000.0,1.25,2019-2020,Social Science,
Pennsylvania State University (Penn State),Sociology,25650.0,1.14,2019-2020,Social Science,
Harvard University (HU),Linguistics,33730.0,1.18,2019-2020,Social Science,
University of Southern California (USC),electrical engineering,34000.0,1.31,2018-2019,STEM,
University of Illinois - Chicago (UIC),Bioengineering,30000.0,1.24,2018-2019,STEM,
University of Kansas (KU),Molecular Biosciences,25000.0,1.22,2019-2020,STEM,
University of Kansas (KU),Molecular Biosciences,25000.0,1.22,2019-2020,STEM,
Cornell University (CU),Chemical Engineering,36291.0,1.5,2019-2020,STEM,Ivy
Yale University (YU),Applied Physics,37750.0,1.53,2019-2020,STEM,Ivy
University of Kansas (KU),Special Education,26500.0,1.3,2018-2019,Social Science,
University of California - San Francisco (UCSF),Chemistry,38000.0,1.27,2018-2019,STEM,
University of California - Berkeley,School of Information,26000.0,0.94,2018-2019,STEM,
University of Illinois - Chicago (UIC),Chemistry,26000.0,1.07,2018-2019,STEM,
University of Illinois - Chicago (UIC),Chemistry,26000.0,1.07,2018-2019,STEM,
University of Kansas,Linguistics,17000.0,,2018-2019,Social Science,
University of Wisconsin - Madison (UW),industrial engineering,27000.0,1.18,2018-2019,STEM,
Rutgers the State University of New Jersey - New Brunswick,Linguistics,25000.0,0.97,2019-2020,Social Science,
McGill University,Linguistics,20000.0,,2019-2020,Social Science,
University of Southern California (USC),Linguistics,30500.0,1.18,2019-2020,Social Science,
Yale University (YU),Linguistics,31800.0,1.29,2019-2020,Social Science,Ivy
University of Maryland - College Park (UMD),Anthropology,18990.0,0.63,2018-2019,Humanities,
Columbia University (CU),English,26200.0,0.88,2019-2020,Humanities,Ivy
University of California - Santa Barbara (UCSB),Chemical Engineering,33000.0,1.26,2018-2019,STEM,
Marquette University,Biological Sciences,28506.0,1.33,2017-2018,STEM,
Washington University in St. Louis (Wash U),Olin Business School PhD program,25000.0,1.21,2015-2016,Business,
Rutgers the State University of New Jersey - Newark,Education,15000.0,0.55,2018-2019,Social Science,
Temple University (TU),Statistics,18606.0,0.77,2018-2019,STEM,
Duke University (DU),Ecology,39000.0,1.75,2018-2019,STEM,
Cornell University (CU),Electrical engineering,38000.0,1.57,2019-2020,STEM,Ivy
University of Washington (UW),Political Science,21694.0,0.93,2018-2019,Social Science,
CUNY - John Jay College,Psychology & Law,26000.0,0.87,2019-2020,Social Science,
Stanford University (SU),Immunology,43360.0,1.51,2018-2019,STEM,
Northern Arizona University (NAU),Earth Science,27000.0,1.15,2019-2020,STEM,
University of Tennessee - Knoxville,Industrial Engineering,30800.0,1.45,2019-2020,STEM,
Brown University,Biomedical Engineering,31654.0,1.39,2018-2019,STEM,Ivy
University of California - Riverside (UCR),English,27000.0,1.12,2018-2019,Humanities,
University of Pennsylvania,Biology,30500.0,1.27,2018-2019,STEM,Ivy
University of Minnesota - Twin Cities (UM),veterinary medicine ,25050.0,1.09,2018-2019,STEM,
University of Rochester (UR),PhD in Political Science,27000.0,1.26,2019-2020,Social Science,
Yale University (YU),History PhD ,32000.0,1.29,2019-2020,Humanities,Ivy
Yale University (YU),History PhD ,32000.0,1.29,2019-2020,Humanities,Ivy
University of Missouri (MU),Engineering,29400.0,1.43,2018-2019,STEM,
University of Oregon (UO),Chemistry,25320.0,1.21,2018-2019,STEM,
Northwestern University (NU),History,32844.0,1.35,2019-2020,Humanities,
University of Michigan - Ann Arbor (UM),Physics,30000.0,1.3,2018-2019,STEM,
Rush University,Integrated Biomedical Sciences,30000.0,1.24,2018-2019,STEM,
University of California - Berkeley,School of Information,26000.0,0.94,2019-2020,STEM,
University of Miami (UM),Communication,27225.0,1.14,2018-2019,Social Science,
Georgia Institute of Technology (Georgia Tech),Computer Science,29700.0,1.28,2018-2019,STEM,
Cornell University (CU),Physics,35733.0,1.47,2018-2019,STEM,Ivy
Georgia Institute of Technology (Georgia Tech),Biomedical Engineering,31500.0,1.35,2019-2020,STEM,
Clemson University (CU),Biological Sciences,18900.0,0.91,2018-2019,STEM,
University of California - San Diego (UCSD),Bioengineering,33000.0,1.25,2018-2019,STEM,
Boston University (BU),Earth and Environment,33100.0,1.16,2018-2019,STEM,
Baylor University (BU),Mechanical ,19500.0,0.98,2018-2019,STEM,
University of California - Riverside (UCR),Psychology,28120.0,1.17,2019-2020,Social Science,
Northeastern University (NU),Pharmacology,32500.0,1.13,2018-2019,STEM,
Florida State University (FSU),Geography,18233.0,0.78,2018-2019,STEM,
Northwestern University (NU),Art History,32844.0,1.35,2019-2020,Humanities,
Rutgers University,Art History,22845.0,,2018-2019,Humanities,
Syracuse University,Information Science,29250.0,1.37,2019-2020,STEM,
Syracuse University,Information Science,29250.0,1.37,2018-2019,STEM,
University of California - Irvine (UCI),chemistry,32000.0,1.09,2019-2020,STEM,
University of California - Berkeley,Molecular and Cell Biology,36000.0,1.3,2018-2019,STEM,
Auburn University (AU),mechanical engineering,19000.0,0.88,2018-2019,STEM,
University of Southern California (USC),Art History,30000.0,1.16,2019-2020,Humanities,
California Institute of Technology (Caltech),Biochemistry and Molecular Biophysics,34000.0,1.44,2014-2015,STEM,
California Institute of Technology (Caltech),Biochemistry and Molecular Biophysics,34000.0,1.31,2015-2016,STEM,
California Institute of Technology (Caltech),Biochemistry and Molecular Biophysics,34000.0,1.31,2016-2017,STEM,
California Institute of Technology (Caltech),Biochemistry and Molecular Biophysics,34000.0,1.31,2017-2018,STEM,
California Institute of Technology (Caltech),Biochemistry and Molecular Biophysics,34000.0,1.31,2018-2019,STEM,
University of Connecticut (UConn),Chemistry,29870.0,1.23,2018-2019,STEM,
University of Chicago (UC),Neurobiology,31736.0,1.31,2018-2019,STEM,
University of Kansas (KU),Geography and Atmospheric Science,23000.0,1.12,2018-2019,STEM,
University of California - Berkeley,Plant and Microbial Biology,36000.0,1.3,2018-2019,STEM,
University of California - Berkeley,Plant and Microbial Biology,36000.0,1.3,2018-2019,STEM,
George Washington University (GW),Institute for Biomedical Sciences,35042.0,1.14,2018-2019,STEM,
University of Colorado - Boulder (UCB),Philosophy,18000.0,0.71,2017-2018,Humanities,
Michigan State University (MSU),english,28000.0,1.37,2019-2020,Humanities,
Indiana State University (ISU),Economics,22800.0,1.16,2019-2020,Social Science,
Harvard University (HU),Regional Studies - East Asia,34560.0,1.21,2018-2019,Humanities,
Clemson University (CU),Economics,21000.0,1.01,2018-2019,Social Science,
Medical College of Wisconsin,Neuroscience Doctoral Program,30010.0,1.4,2018-2019,STEM,
University of Arkansas for Medical Sciences,Pharmaceutical Sciences,25000.0,1.2,2018-2019,STEM,
University of California - Los Angeles (UCLA),Medical Scientist Training Program,33000.0,1.28,2018-2019,STEM,
Johns Hopkins University (JHU),Physics ,80816.0,3.14,2019-2020,STEM,
University of Utah,Chemical engineering,28000.0,1.26,2019-2020,STEM,
Florida International University (FIU),Computer Science,20900.0,0.88,2018-2019,STEM,
Florida International University (FIU),Computer Science,25100.0,1.05,2018-2019,STEM,
Cornell University (CU),Comparative Literature,31994.0,1.32,2019-2020,Humanities,Ivy
Auburn University (AU),Biosystems Engineering,20900.0,0.96,2018-2019,STEM,
Stony Brook University - SUNY,Geosciences,31000.0,1.11,2019-2020,STEM,
University of Wisconsin - Madison (UW),Computer Science,26000.0,1.14,2019-2020,STEM,
University of Washington (UW),Chemical Engineering,31251.0,1.34,2017-2018,STEM,
Oregon Health and Science University,Neuroscience Graduate Program,30000.0,1.28,2018-2019,STEM,
Washington State University (WSU),Molecular Biology,26774.0,1.42,2018-2019,STEM,
Yale University (YU),Microbial Pathogenesis,35850.0,1.45,2018-2019,STEM,Ivy
Embry-Riddle Aeronautical University,Human Factors and Behavioral Neurobiology,15000.0,,2018-2019,STEM,
Cold Spring Harbor Laboratory,Watson School of Biological Sciences,34000.0,,2018-2019,STEM,
University of California - Berkeley,Chemical and Biomolecular Engineering,34000.0,1.22,2018-2019,STEM,
University of California - Berkeley,Chemical and biomolecular engineering,36000.0,1.3,2018-2019,STEM,
Stanford University (SU),Cancer Biology,39000.0,1.36,2018-2019,STEM,
CUNY Graduate School and University Center,History,26128.0,0.88,2018-2019,Humanities,
University of Washington (UW),Earth and Space Sciences,29076.0,1.25,2018-2019,STEM,
University of California - Riverside (UCR),Psychology,18527.0,0.77,2018-2019,Social Science,
Johns Hopkins University (JHU),Physics and Astronomy,32000.0,1.24,2015-2016,STEM,
University of California - Los Angeles (UCLA),Environmental Science,30000.0,1.16,2018-2019,STEM,
University of Michigan - Ann Arbor (UM),computer science,32600.0,1.41,2019-2020,STEM,
Duke University (DU),Business Administration,33000.0,1.48,2019-2020,Business,
University of Illinois - Chicago (UIC),Mathematics,16965.0,0.7,2018-2019,STEM,
Ohio University (OU),PBIO,22880.0,1.09,2018-2019,STEM,
Washington University in St. Louis (Wash U),Developmental Biology,30500.0,1.48,2018-2019,Social Science,
University of Kansas (KU),Chemical and Petroleum Engineering,25000.0,1.22,2018-2019,STEM,
West Virginia University (WVU),Biomedical Sciences,23700.0,1.06,2018-2019,STEM,
University of Georgia (UGA),Geography,20466.0,0.97,2018-2019,STEM,
Columbia University (CU),Computer Science,33642.0,1.13,2019-2020,STEM,Ivy
University of Colorado - Boulder (UCB),chemistry,34500.0,1.35,2019-2020,STEM,
University of Minnesota - Twin Cities (UM),Astrophysics,20266.0,0.88,2018-2019,STEM,
University of Minnesota - Twin Cities (UM),Chemistry,23523.0,1.03,2018-2019,STEM,
Vanderbilt University,Psychological Sciences,30520.0,1.33,2018-2019,Social Science,
Vanderbilt University,Electrical Engineering,34200.0,1.49,2018-2019,STEM,
Tufts University (TU),Biology,32769.0,1.17,2018-2019,STEM,
Georgetown University,Biochemistry and Molecular Biology,31000.0,1.0,2018-2019,STEM,
California Institute of Technology (Caltech),Physics,34000.0,1.31,2018-2019,STEM,
University of Notre Dame (ND),Biophysics,30500.0,1.49,2018-2019,STEM,
Northwestern University (NU),Mechanical Engineering ,31216.0,1.29,2018-2019,STEM,
University of California - Los Angeles (UCLA),Sociology,30000.0,1.16,2019-2020,Social Science,
Vanderbilt University,Chemical and Biomolecular Engineering,30000.0,1.31,2018-2019,STEM,
University of Delaware (UD),Materials Science and Engineering,26800.0,1.06,2018-2019,STEM,
University of Cincinnati (UC),Biological Sciences,22000.0,1.14,2015-2016,STEM,
University of North Carolina - Chapel Hill (UNC),English,15100.0,0.68,2018-2019,Humanities,
University of Minnesota - Twin Cities (UM),psychology ,19000.0,0.83,2018-2019,Social Science,
University of California - San Diego (UCSD),Scripps Institution of Oceanography,30000.0,1.13,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Robotics,31620.0,1.37,2018-2019,STEM,
University of Delaware (UD),chemical engineering,30773.0,1.21,2018-2019,STEM,
Boston College (BC),social work,20000.0,0.72,2018-2019,Social Science,
Princeton University,Chemical Engineering,37000.0,1.46,2019-2020,STEM,Ivy
Louisiana State University - Baton Rouge,Biology,19000.0,0.88,2018-2019,STEM,
University of Pittsburgh,Chemical Engineering,29000.0,1.4,2019-2020,STEM,
Yale University (YU),Neuroscience,35850.0,1.45,2018-2019,STEM,Ivy
National university of ireland galway,Microbiology,18000.0,,2018-2019,STEM,
University of Cincinnati (UC),Neuroscience,31000.0,1.61,2018-2019,STEM,
University of Montana (UM),Wildlife Biology,19296.0,0.88,2018-2019,Social Science,
University of California - Santa Barbara (UCSB),Chemical Engineering,34500.0,1.31,2019-2020,STEM,
University of California - Los Angeles (UCLA),Chemistry,32000.0,1.24,2019-2020,STEM,
Wake Forest University (WFU),Biology ,29544.0,1.36,2018-2019,STEM,
University of California - Berkeley,History ,36000.0,1.3,2018-2019,Humanities,
University of Tennessee - Knoxville,Engineering,30000.0,1.41,2018-2019,STEM,
University of Tennessee - Knoxville,Engineering,30000.0,1.41,2018-2019,STEM,
New York University (NYU),Musicology,28145.0,0.95,2018-2019,Humanities,
University of Delaware (UD),Chemical Engineering,30804.0,1.21,2019-2020,STEM,
Chapman University,Computational and Data Sciences,23100.0,,2018-2019,STEM,
University of California - San Diego (UCSD),Cognitive Science and Neuroscience,31000.0,1.17,2018-2019,STEM,
New York University (NYU),Comparative Literature,32125.0,1.08,2018-2019,Humanities,
University of California - Irvine (UCI),Philosophy,22800.0,0.78,2018-2019,Humanities,
Villanova University,Philosophy,25800.0,,2018-2019,Humanities,
University of California - Berkeley,Philosophy,29000.0,1.04,2017-2018,Humanities,
University of Pennsylvania,Chemistry,30000.0,1.24,2018-2019,STEM,Ivy
University of Oklahoma (OU),Engineering,26400.0,1.31,2019-2020,STEM,
Ohio State University (OSU),Engineering ,24600.0,1.23,2019-2020,STEM,
Temple University (TU),Chemistry,31400.0,1.3,2018-2019,STEM,
Mount Sinai School of Medicine,Biomedical Sciences,37000.0,1.24,2018-2019,STEM,
University of Pittsburgh,Biostatistics,24300.0,1.17,2018-2019,STEM,
University of Texas Health Science Center - Houston,Graduate School of Biomedical Sciences,32000.0,1.46,2018-2019,STEM,
University of Minnesota - Twin Cities (UM),Chemical Engineering,31500.0,1.37,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Chemical Engineering,32200.0,1.4,2019-2020,STEM,
University of Wisconsin - Madison (UW),Chemical Engineering,30490.0,1.34,2019-2020,STEM,
University of Colorado - Boulder (UCB),Chemical Engineering,30756.0,1.21,2019-2020,STEM,
Rice University,Civil and Environmental Engineering,25600.0,1.17,2018-2019,STEM,
University of Virginia (UVA),Politics ,24000.0,1.05,2017-2018,Social Science,
University of Michigan - Ann Arbor (UM),Education ,16000.0,0.69,2018-2019,Social Science,
Florida State University (FSU),Economics,25700.0,1.1,2018-2019,Social Science,
California Institute of Technology (Caltech),Applied Physics,34000.0,1.31,2018-2019,STEM,
Stanford University (SU),Physics,37830.0,1.32,2017-2018,STEM,
Massachusetts Institute of Technology (MIT),Physics,38844.0,1.39,2018-2019,STEM,
North Carolina State University (NCSU),Nuclear Engineering,28000.0,1.23,2018-2019,STEM,
