University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
Stevens Institute of Technology,Chemical Engineering and Materials Science,40000.0,1.5,2024-2025,STEM,
University of Delaware (UD),School of Marine Science & Policy,29300.0,1.15,2022-2023,Social Science,
University of Pennsylvania,Demography,40000.0,1.66,2022-2023,STEM,Ivy
Northcentral University,Psychology,19598.0,0.92,2024-2025,Social Science,
Purdue University - West Lafayette,Engineering ,50000.0,2.36,2022-2023,STEM,
University of Iowa (UI),Pharmaceutics,28000.0,1.26,2024-2025,STEM,
University of New Mexico (UNM),English,20000.0,0.95,2024-2025,Humanities,
New York University (NYU),Engineering,50000.0,1.68,2024-2025,STEM,
University of Utah,Physics and Astronomy,34000.0,1.53,2024-2025,STEM,
IIT Bombay,CSE,37000.0,,2023-2024,STEM,
Massachusetts Institute of Technology (MIT),Chemistry ,49300.0,1.77,2024-2025,STEM,
University of Memphis,Chemistry,20000.0,0.89,2024-2025,STEM,
Lehigh University,Civil and Environmental Engineering ,34000.0,1.52,2024-2025,STEM,
The Catholic University of America,History,18000.0,0.58,2024-2025,Humanities,
Vanderbilt University,Microbe Host Interactions,38000.0,1.65,2022-2023,STEM,
Syracuse University,Anthropology,28000.0,1.31,2024-2025,Humanities,
New York University (NYU),Chemistry,30000.0,1.13,2006-2007,STEM,
New York University (NYU),Chemistry,20400.0,0.77,2002-2003,STEM,
Texas A&amp;M; University - College Station,Mechanical Eng,24000.0,,2022-2023,STEM,
Emory University,Nursing,37467.0,1.61,2024-2025,STEM,
University of Houston (UH),Economics,23400.0,1.07,2024-2025,Social Science,
University of Houston (UH),Economics,19900.0,0.91,2024-2025,Social Science,
George Washington University (GW),Economics,27000.0,0.87,2022-2023,Social Science,
University of Washington (UW),Sociology,27360.0,1.18,2024-2025,Social Science,
University of Toronto,Computer Science,41000.0,,2024-2025,STEM,
SUNY College of Environmental Science and Forestry,Environmental and Forest Biology,20000.0,0.94,2023-2024,STEM,
University of Cincinnati (UC),Political Science ,18541.0,0.96,2023-2024,Social Science,
University of Georgia (UGA),Computer Science,27760.0,1.31,2024-2025,STEM,
Cornell University (CU),Animal Science,43915.0,1.81,2023-2024,STEM,Ivy
University of Virginia (UVA),Economics,30600.0,1.34,2024-2025,Social Science,
Florida State University (FSU),Economics,26400.0,1.13,2023-2024,Social Science,
Pennsylvania State University (Penn State),Political Science,29500.0,1.31,2024-2025,Social Science,
University of South Carolina (USC),Economics,22300.0,0.99,2024-2025,Social Science,
University of Wisconsin - Madison (UW),microbiology,33500.0,1.47,2024-2025,STEM,
University at Buffalo - SUNY,Chemical and Biological Engineering,32450.0,1.54,2024-2025,STEM,
East Carolina University (ECU),Biomedical Sciences,25000.0,1.16,2023-2024,STEM,
University of Wisconsin - Madison (UW),Civil Engineering ,34000.0,1.49,2025-2026,STEM,
New York University (NYU),Math,53000.0,1.78,2024-2025,STEM,
Stanford University (SU),Statistics,53496.0,1.86,2024-2025,STEM,
University of Illinois - Urbana- Champaign (UIUC),Philosophy,22080.0,1.0,2024-2025,Humanities,
Arizona State University (ASU),school of earth and space exploration,32700.0,1.47,2024-2025,STEM,
New Jersey Institute of Technology,Mathematical Sciences,34211.0,1.26,2024-2025,STEM,
University of Mississippi (Ole Miss),Pharmaceutics & Drug Delivery,20000.0,0.92,2023-2024,STEM,
Virginia Tech,Electrical and Computer Engineering ,32000.0,1.52,2023-2024,STEM,
Auburn University (AU),Industrial Engineering,29000.0,1.34,2024-2025,STEM,
Auburn University (AU),Industrial Engineering,29000.0,1.34,2024-2025,STEM,
